"id","match_date_weekday_id","match_date_day","match_date_month_id","match_date_year","home_team_name_id","away_team_name_id","home_team_goal","away_team_goal"
1561,4,"10",2,"2010",16,19,"4","0"
1737,3,"25",3,"2010",28,34,"1","0"
1811,7,"20",3,"2010",7,10,"3","0"
1916,2,"14",3,"2010",4,32,"1","0"
1885,6,"17",3,"2010",19,32,"1","2"
1969,6,"10",3,"2010",26,24,"1","4"
1607,4,"10",2,"2010",28,33,"0","1"
1556,4,"10",2,"2010",10,13,"1","1"
1893,1,"15",3,"2010",30,36,"0","0"
1803,1,"22",3,"2010",26,28,"0","2"
1550,4,"10",2,"2010",9,23,"2","1"
1703,6,"1",2,"2010",36,9,"3","1"
1925,4,"12",3,"2010",13,34,"5","1"
1905,1,"15",3,"2010",28,11,"2","2"
1615,4,"10",2,"2010",20,14,"4","0"
1591,4,"10",2,"2010",24,5,"4","2"
1985,3,"4",3,"2010",24,13,"1","6"
1752,3,"25",3,"2010",24,7,"0","4"
1993,3,"4",3,"2010",14,30,"2","1"
1623,1,"6",2,"2010",13,5,"0","1"
1828,3,"18",3,"2010",5,4,"2","1"
1719,4,"26",3,"2010",4,19,"7","0"
1960,6,"10",3,"2010",10,23,"1","0"
1631,1,"6",2,"2010",14,19,"0","1"
1795,6,"24",3,"2010",32,36,"2","2"
1639,7,"4",2,"2010",33,20,"2","1"
1711,6,"1",2,"2010",13,28,"3","1"
1695,6,"1",2,"2010",19,11,"0","0"
1663,3,"2",2,"2010",7,4,"0","2"
1761,6,"24",3,"2010",16,5,"3","1"
1671,3,"2",2,"2010",14,10,"3","2"
1943,3,"11",3,"2010",33,16,"0","0"
1770,6,"24",3,"2010",9,33,"1","1"
1679,6,"1",2,"2010",34,24,"2","1"
1687,6,"1",2,"2010",5,32,"1","0"
2007,6,"3",3,"2010",NULL,NULL,"",""
1636,4,"16",2,"2011",20,28,"1","2"
1569,4,"23",2,"2011",16,35,"4","2"
1543,4,"23",2,"2011",10,23,"0","3"
1771,4,"2",2,"2011",13,10,"2","1"
1576,4,"23",2,"2011",14,20,"2","2"
1962,2,"20",3,"2011",22,16,"0","0"
1683,2,"11",2,"2011",13,5,"1","0"
1676,6,"14",2,"2011",33,16,"1","1"
1970,4,"18",3,"2011",20,7,"1","1"
1699,4,"9",2,"2011",16,4,"2","1"
1978,6,"16",3,"2011",10,28,"1","2"
1986,6,"16",3,"2011",18,4,"1","3"
1582,4,"23",2,"2011",11,4,"1","0"
2001,6,"16",3,"2011",35,30,"1","3"
1927,6,"23",3,"2011",35,22,"1","1"
1538,4,"23",2,"2011",9,33,"2","3"
1644,3,"15",2,"2011",4,22,"2","2"
1548,4,"23",2,"2011",5,34,"2","1"
1668,6,"14",2,"2011",35,32,"4","3"
1554,4,"23",2,"2011",19,30,"0","1"
1952,1,"21",3,"2011",4,34,"3","1"
1755,6,"7",2,"2011",32,23,"1","2"
1934,6,"23",3,"2011",28,19,"1","1"
1944,1,"21",3,"2011",5,20,"3","3"
1918,6,"23",3,"2011",7,34,"5","0"
1740,6,"7",2,"2011",22,34,"2","1"
1706,3,"8",2,"2011",5,35,"1","1"
1715,3,"8",2,"2011",9,18,"3","1"
1723,3,"8",2,"2011",19,20,"3","1"
1563,4,"23",2,"2011",22,18,"3","3"
1731,6,"7",2,"2011",10,33,"1","1"
1995,6,"16",3,"2011",11,33,"2","0"
1659,6,"14",2,"2011",23,9,"1","3"
2011,6,"16",3,"2011",NULL,NULL,"",""
1651,6,"14",2,"2011",18,11,"1","0"
1763,6,"7",2,"2011",28,30,"1","1"
1779,3,"1",2,"2011",4,5,"2","1"
1613,4,"16",2,"2011",30,10,"3","2"
1877,3,"24",3,"2011",4,10,"3","0"
1884,6,"23",3,"2011",16,11,"1","0"
1892,6,"23",3,"2011",9,14,"1","1"
1904,6,"23",3,"2011",5,18,"2","2"
1606,2,"18",2,"2011",13,19,"3","0"
1589,4,"23",2,"2011",32,13,"0","2"
1829,6,"30",3,"2011",33,32,"1","0"
1598,4,"23",2,"2011",28,7,"1","0"
1868,4,"25",3,"2011",32,20,"2","1"
1793,3,"1",2,"2011",34,9,"1","1"
1787,3,"1",2,"2011",7,22,"3","0"
1838,6,"30",3,"2011",30,11,"1","1"
1801,3,"1",2,"2011",20,16,"1","0"
1845,1,"28",3,"2011",14,32,"3","0"
1809,6,"30",3,"2011",18,28,"2","1"
1859,2,"27",3,"2011",19,9,"3","0"
1815,6,"30",3,"2011",23,14,"0","3"
1865,7,"26",3,"2011",33,13,"0","1"
1620,4,"16",2,"2011",7,5,"0","2"
1747,6,"7",2,"2011",11,13,"2","1"
1823,6,"30",3,"2011",35,19,"0","0"
1691,7,"10",2,"2011",14,7,"2","5"
1628,4,"16",2,"2011",34,14,"0","2"
1908,6,"23",3,"2011",23,30,"4","2"
1555,7,"8",2,"2012",33,30,"0","1"
2134,3,"1",1,"2012",19,30,"2","2"
2088,3,"5",6,"2012",13,14,"3","0"
2040,3,"18",5,"2012",9,16,"0","5"
2087,3,"5",6,"2012",27,32,"2","0"
2045,3,"11",5,"2012",23,7,"1","0"
2106,3,"22",1,"2012",14,22,"5","2"
1573,3,"6",2,"2012",9,11,"0","0"
2086,3,"5",6,"2012",29,9,"1","2"
2033,1,"22",5,"2012",13,4,"2","1"
2085,3,"5",6,"2012",19,23,"0","1"
2044,3,"11",5,"2012",9,33,"0","2"
1656,4,"30",3,"2012",5,33,"2","0"
